9.919|Teaching Brain and Cognitive Sciences|http://student.mit.edu/catalog/m9b.html#9.919
11.THT|Thesis Research Design Seminar|http://student.mit.edu/catalog/m11a.html#11.THT
11.THU|Undergraduate Thesis|http://student.mit.edu/catalog/m11a.html#11.THU
21F.URG|Undergraduate Research|http://student.mit.edu/catalog/m21Fs.html#21F.URG
4.540|Introduction to Shape Grammars I|http://student.mit.edu/catalog/m4e.html#4.540
20.463|Biomaterials Science and Engineering|http://student.mit.edu/catalog/m20a.html#20.463
11.522|Research Seminar on Urban Information Systems|http://student.mit.edu/catalog/m11c.html#11.522
4.130|Architectural Design Theory and Methodologies|http://student.mit.edu/catalog/m4a.html#4.130
12.000|Solving Complex Problems|http://student.mit.edu/catalog/m12a.html#12.000
11.520|A Workshop on Geographic Information Systems|http://student.mit.edu/catalog/m11c.html#11.520
21F.219|Workshop in Written Expression (ELS)|http://student.mit.edu/catalog/m21Fc.html#21F.219
12.003|Physics of the Atmosphere and Ocean|http://student.mit.edu/catalog/m12a.html#12.003
20.470|Cellular Biophysics|http://student.mit.edu/catalog/m20a.html#20.470
12.001|Introduction to Geology|http://student.mit.edu/catalog/m12a.html#12.001
12.008|Classical Mechanics: A Computational Approach|http://student.mit.edu/catalog/m12a.html#12.008
12.006|Nonlinear Dynamics I: Chaos|http://student.mit.edu/catalog/m12a.html#12.006
21H.160|Islam, the Middle East, and the West|http://student.mit.edu/catalog/m21Ha.html#21H.160
3.96|Biomaterials: Tissue Interactions|http://student.mit.edu/catalog/m3b.html#3.96
3.97|Cell-Matrix Mechanics|http://student.mit.edu/catalog/m3b.html#3.97
4.550|Workshop in Architectural Computation|http://student.mit.edu/catalog/m4e.html#4.550
3.091|Introduction to Solid-State Chemistry|http://student.mit.edu/catalog/m3a.html#3.091
4.552|Workshop in Architectural Computation|http://student.mit.edu/catalog/m4e.html#4.552
4.553|Workshop in Architectural Computation|http://student.mit.edu/catalog/m4e.html#4.553
20.454|Neurotechnology Ventures|http://student.mit.edu/catalog/m20a.html#20.454
CMS.UR|Research in Comparative Media Studies|http://student.mit.edu/catalog/mCMSa.html#CMS.UR
4.557|New Urban Village: Mobility-on-Demand|http://student.mit.edu/catalog/m4e.html#4.557
20.452|Principles of Neuroengineering|http://student.mit.edu/catalog/m20a.html#20.452
4.166|Beijing Urban Design Studio|http://student.mit.edu/catalog/m4a.html#4.166
1.S82|Special Problems in Environmental Microbiology and Chemistry|http://student.mit.edu/catalog/m1c.html#1.S82
4.562|Advanced Visualization: Architecture in Motion Graphics|http://student.mit.edu/catalog/m4e.html#4.562
20.445|Methods and Problems in Microbiology|http://student.mit.edu/catalog/m20a.html#20.445
20.446|Microbial Genetics and Evolution|http://student.mit.edu/catalog/m20a.html#20.446
4.566|Advanced Projects in Digital Media|http://student.mit.edu/catalog/m4e.html#4.566
EC.731|Development Ventures|http://student.mit.edu/catalog/mECa.html#EC.731
20.441|Biomaterials: Tissue Interactions|http://student.mit.edu/catalog/m20a.html#20.441
20.450|Molecular and Cellular Pathophysiology|http://student.mit.edu/catalog/m20a.html#20.450
15.616|Basic Business Law, Tilted Towards Innovation and Strategy|http://student.mit.edu/catalog/m15b.html#15.616
15.615|Basic Business Law for the Entrepreneur and Manager|http://student.mit.edu/catalog/m15b.html#15.615
4.154|Architecture Design Option Studio|http://student.mit.edu/catalog/m4a.html#4.154
1.366|Geotechnical Engineering|http://student.mit.edu/catalog/m1b.html#1.366
MS.101|Leadership and Personal Development|http://student.mit.edu/catalog/mMSa.html#MS.101
1.364|Advanced Geotechnical Engineering|http://student.mit.edu/catalog/m1b.html#1.364
1.361|Advanced Soil Mechanics|http://student.mit.edu/catalog/m1b.html#1.361
10.644|Frontiers in Therapeutics and Drug Delivery|http://student.mit.edu/catalog/m10a.html#10.644
8.590|Evaluating Current Research in Molecular and Cellular Biophysics|http://student.mit.edu/catalog/m8b.html#8.590
8.591|Systems Biology|http://student.mit.edu/catalog/m8b.html#8.591
6.858|Computer Systems Security|http://student.mit.edu/catalog/m6c.html#6.858
EC.723|D-Lab: Cycle Ventures|http://student.mit.edu/catalog/mECa.html#EC.723
3.46|Photonic Materials and Devices|http://student.mit.edu/catalog/m3a.html#3.46
4.105|Geometric Disciplines and Architecture Skills|http://student.mit.edu/catalog/m4a.html#4.105
6.864|Advanced Natural Language Processing|http://student.mit.edu/catalog/m6c.html#6.864
3.43|Integrated Microelectronic Devices|http://student.mit.edu/catalog/m3a.html#3.43
3.42|Electronic Materials Design|http://student.mit.edu/catalog/m3a.html#3.42
6.863|Natural Language and the Computer Representation of Knowledge|http://student.mit.edu/catalog/m6c.html#6.863
2.701|Principles of Naval Architecture|http://student.mit.edu/catalog/m2b.html#2.701
3.40|Modern Physical Metallurgy|http://student.mit.edu/catalog/m3a.html#3.40
2.703|Principles of Naval Ship Design|http://student.mit.edu/catalog/m2b.html#2.703
WGS.271|Dilemmas in Biomedical Ethics: Playing God or Doing Good?|http://student.mit.edu/catalog/mWGSa.html#WGS.271
2.700|Principles of Naval Architecture|http://student.mit.edu/catalog/m2b.html#2.700
18.S996|Special Subject in Mathematics|http://student.mit.edu/catalog/m18b.html#18.S996
18.S997|Special Subject in Mathematics|http://student.mit.edu/catalog/m18b.html#18.S997
4.503|Advanced Visualization: Architecture in Motion Graphics|http://student.mit.edu/catalog/m4e.html#4.503
18.S995|Special Subject in Mathematics|http://student.mit.edu/catalog/m18b.html#18.S995
15.678|Political Economy I: Theories of the State and the Economy|http://student.mit.edu/catalog/m15b.html#15.678
4.500|Introduction to Design Computing|http://student.mit.edu/catalog/m4e.html#4.500
18.S998|Special Subject in Mathematics|http://student.mit.edu/catalog/m18b.html#18.S998
